tweet_id,author_id,created_at,lang,text
1537325652839280640,1331398540858249218,2022-06-16 06:46:12+00:00,in,"Kenang Sosok Anak Sulungnya yang Telah Meninggal Dunia, Ridwan Kamil Bongkar Kebaikan Eril Saat Masih Hidup, Emmeril Kahn Mumtadz Titip Sepatu dari Spanyol untuk Sosok Ini https://t.co/HSgltqepC9"
1537318242011582469,1239491419246432258,2022-06-16 06:16:45+00:00,in,"Ikut Berduka, Mitra Gojek Bandung Doakan Almarhum Emmeril Kahn Mumtadz https://t.co/IVrveCQl90
@kejO_Online @ZoneVenomWar @ryan_nus"
1537312086971207680,1438732688198823937,2022-06-16 05:52:18+00:00,in,Gubernur Jabar Ridwan Kamil mengikuti langsung proses pencarian Emmeril Kahn Mumtadz pada Sabtu (28/5/2022). Hal itu terekam dari foto proses pencarian yang diunggah di situs resmi Kementerian Luar Negeri Republik Indonesia. https://t.co/AkQiV2ZzPN
1537302700710408193,71436318,2022-06-16 05:15:00+00:00,in,"Jutaan doa mengiringi peristirahatan terakhir putra sulung Gub. Jabar Ridwan Kamil, Emmeril Kahn Mumtadz. Kami rangkum peristiwanya dalam Catatan Jurnalis ""Jutaan Doa Melepas Eril"" malam ini pkl 20.30 WIB di KompasTV.

Streaming: https://t.co/rUTSoY7Gv2 https://t.co/1T4L4pwzei"
1537298925769596929,1385513704322600961,2022-06-16 05:00:00+00:00,in,"Yuk mengenal lebih dalam organisasi Jabar Bergerak Zillenial yang digagas oleh Emmeril Kahn Mumtadz (Eril)!
#ThePhraseID #EmmerilKahnMumtadz #Eril #RidwanKamil #JabarBergerakZillenial #JBZ #Jabar #JawaBarat 
https://t.co/2QgFmbxzWD"
1537296961123913733,147889039,2022-06-16 04:52:11+00:00,in,"2. Kepergian Emmeril Kahn Mumtadz, putera dari Gubernur Jawa Barat Ridwal Kamil tentu banyak menyisakan duka dan pelajaran bagi kita semua yang dapat mengambilnya, bahwa setiap yang bernyawa pasti akan mati. Dan kematian itu datangnya tidak ada yang tau kapan dan dimana."
1537293477356380160,1471070295226130432,2022-06-16 04:38:21+00:00,in,"Silsilah Keluarga Ridwan Kamil dan Emmeril Kahn Mumtadz (Eril), Ternyata Berasal dari Wali Songo

https://t.co/aemZgEgI1J"
1537293447790358528,1480821602765791232,2022-06-16 04:38:14+00:00,in,"Silsilah Keluarga Ridwan Kamil dan Emmeril Kahn Mumtadz (Eril), Ternyata Berasal dari Wali Songo

https://t.co/iv9fipe1BW"
1537293416727715843,2985307064,2022-06-16 04:38:06+00:00,in,"Silsilah Keluarga Ridwan Kamil dan Emmeril Kahn Mumtadz (Eril), Ternyata Berasal dari Wali Songo

https://t.co/1cQfqzDxbt"
1537292895106916352,1438732688198823937,2022-06-16 04:36:02+00:00,in,"Putra Pertama Gubernur Jabar Ridwan Kamil Emmeril Kahn Mumtadz mengalami musibah di Bern, Swiss pada Kamis (26/5/2022) siang hari waktu Swiss. https://t.co/PR34PG4TgP"
